path,filename,extension,size_bytes,modified_time,supported_video,ignored_incomplete,old_enough
/mnt/spirit-8tb/media/tempTwitter/DAY 🕷️ - chudai [1999517687160987648].mp4,DAY 🕷️ - chudai [1999517687160987648].mp4,.mp4,488374,2026-06-21T03:35:05.180Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/DAY 🕷️ - wataa [1955412293010808832].mp4,DAY 🕷️ - wataa [1955412293010808832].mp4,.mp4,1777320,2026-06-21T03:21:49.746Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/DAY 🕷️ - who wanna eat my ass next？ 👀 [1999517687160987648].mp4,DAY 🕷️ - who wanna eat my ass next？ 👀 [1999517687160987648].mp4,.mp4,488374,2026-06-21T03:25:10.430Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Dani 🍑 - Chudai 💦 [1960889847528165376].mp4,Dani 🍑 - Chudai 💦 [1960889847528165376].mp4,.mp4,2917034,2026-06-21T03:47:23.433Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Dani 🍑 - Wataa 💦 [1973523702990917632].mp4,Dani 🍑 - Wataa 💦 [1973523702990917632].mp4,.mp4,3359160,2026-06-21T03:54:00.579Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Derly Rodríguez 🩷 - https：⧸⧸t.co⧸afSy2MUkAq [2006175477438808065].mp4,Derly Rodríguez 🩷 - https：⧸⧸t.co⧸afSy2MUkAq [2006175477438808065].mp4,.mp4,4777180,2026-06-21T03:31:58.435Z,yes,no,yes
"/mnt/spirit-8tb/media/tempTwitter/Dr. Clown, PhD - Wait... What the fvck is this!？ [2002010187389878272].mp4","Dr. Clown, PhD - Wait... What the fvck is this!？ [2002010187389878272].mp4",.mp4,2371923,2026-06-21T03:33:43.808Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Dreamz - Wattttaa💦😋🍆 [2006112682592657408].mp4,Dreamz - Wattttaa💦😋🍆 [2006112682592657408].mp4,.mp4,12226240,2026-06-21T03:22:44.698Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Dreamz - https：⧸⧸t.co⧸F97CZoB0hc [2000819408277532676].mp4,Dreamz - https：⧸⧸t.co⧸F97CZoB0hc [2000819408277532676].mp4,.mp4,23346889,2026-06-21T03:32:59.244Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/EMmanuel🇳🇬 ⧸ AI Imagery - this is crazy 😭😭😭 [1996910196438769664].mp4,EMmanuel🇳🇬 ⧸ AI Imagery - this is crazy 😭😭😭 [1996910196438769664].mp4,.mp4,2414679,2026-06-21T03:39:30.283Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Ebonys R’ US - 😞 I Miss Her @TeannaTrump [1981968705530544130].mp4,Ebonys R’ US - 😞 I Miss Her @TeannaTrump [1981968705530544130].mp4,.mp4,53014633,2026-06-21T03:47:05.339Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Eden Ivy - Does this video count as my girlfriend resume？ [1997036543400116224].mp4,Eden Ivy - Does this video count as my girlfriend resume？ [1997036543400116224].mp4,.mp4,12177154,2026-06-21T03:37:17.746Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Eden Ivy - Housewife training：) [2005754088114335744].mp4,Eden Ivy - Housewife training：) [2005754088114335744].mp4,.mp4,10150548,2026-06-21T03:23:15.056Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Ema - Hi = 🍒 Heyy = 🍑 Then check ur messages 👀 [1977813597850849280].mp4,Ema - Hi = 🍒 Heyy = 🍑 Then check ur messages 👀 [1977813597850849280].mp4,.mp4,1055880,2026-06-21T03:34:45.839Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Ema - bounce [1993424158584127488].mp4,Ema - bounce [1993424158584127488].mp4,.mp4,11240084,2026-06-21T03:34:50.627Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/FernandaShows🎀 - 🥸 [2006901313347768320].mp4,FernandaShows🎀 - 🥸 [2006901313347768320].mp4,.mp4,5815454,2026-06-21T03:18:38.050Z,yes,no,yes
"/mnt/spirit-8tb/media/tempTwitter/G00NER GIRL🎀 - OOPS, I DROPPED MY KEYS👀🎀😵‍💫 [1968128350079377408].mp4","G00NER GIRL🎀 - OOPS, I DROPPED MY KEYS👀🎀😵‍💫 [1968128350079377408].mp4",.mp4,1342409,2026-06-21T03:37:21.065Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/GOONETTE WORSHIPPER🙏🏻🧎 - CUM WALKS ARE SO HOT! LIKE YEAH SHOW THE PEOPLE AROUND YOUR AREA HOW ... [1874895750137540608].mp4,GOONETTE WORSHIPPER🙏🏻🧎 - CUM WALKS ARE SO HOT! LIKE YEAH SHOW THE PEOPLE AROUND YOUR AREA HOW ... [1874895750137540608].mp4,.mp4,27903552,2026-06-21T03:46:02.475Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/GOONETTE WORSHIPPER🙏🏻🧎 - YOURE SO SICK AND PERVERTED ARENT YOU🤭 I BET YOURE IMAGINING FUCKING ... [1989937734966779904].mp4,GOONETTE WORSHIPPER🙏🏻🧎 - YOURE SO SICK AND PERVERTED ARENT YOU🤭 I BET YOURE IMAGINING FUCKING ... [1989937734966779904].mp4,.mp4,2267581,2026-06-21T03:45:15.707Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Gianna J - Chudai 🥵 [2010206448291045376].mp4,Gianna J - Chudai 🥵 [2010206448291045376].mp4,.mp4,1178400,2026-06-21T03:25:08.864Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Gianna J - Does my ass look better in leggings or out？ 🤔 [1990611883624112128].mp4,Gianna J - Does my ass look better in leggings or out？ 🤔 [1990611883624112128].mp4,.mp4,1747018,2026-06-21T03:37:42.090Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Gianna J - She loves playing with my big ass and I love sucking on her big tits ... [1980439071806627841].mp4,Gianna J - She loves playing with my big ass and I love sucking on her big tits ... [1980439071806627841].mp4,.mp4,10885145,2026-06-21T03:59:03.937Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Girls Finnishing theJob - https：⧸⧸t.co⧸RrMah2UiKw [1968259466614161408].mp4,Girls Finnishing theJob - https：⧸⧸t.co⧸RrMah2UiKw [1968259466614161408].mp4,.mp4,3087096,2026-06-21T03:33:13.981Z,yes,no,yes
/mnt/spirit-8tb/media/tempTwitter/Goddess Barbie to you ｜ 👑🇨🇦 - wataa [1968863803166048256].mp4,Goddess Barbie to you ｜ 👑🇨🇦 - wataa [1968863803166048256].mp4,.mp4,4913279,2026-06-21T03:57:05.295Z,yes,no,yes
